[4811.938, 'N', 300.8217, 'W', 112554.0]
[4811.9379, 'N', 300.8218, 'W', 112555.0]
[4811.9379, 'N', 300.8218, 'W', 112556.0]
[4811.9337, 'N', 300.832, 'W', 112759.0]
[4811.9334, 'N', 300.8319, 'W', 112800.0]
[4811.9332, 'N', 300.8319, 'W', 112801.0]
[4811.9328, 'N', 300.8321, 'W', 112802.0]
[4811.9323, 'N', 300.832, 'W', 112803.0]
[4811.9316, 'N', 300.832, 'W', 112804.0]
[4811.931, 'N', 300.8322, 'W', 112805.0]
[4811.9306, 'N', 300.8323, 'W', 112806.0]
[4811.9303, 'N', 300.8326, 'W', 112807.0]
[4811.9301, 'N', 300.8328, 'W', 112808.0]
[4811.93, 'N', 300.8327, 'W', 112809.0]
[4811.9299, 'N', 300.8325, 'W', 112810.0]
[4811.9298, 'N', 300.8322, 'W', 112811.0]
[4811.9296, 'N', 300.8322, 'W', 112812.0]
