[4811.9309, 'N', 300.9116, 'W', 170633.0]
[4811.9304, 'N', 300.9109, 'W', 170634.0]
[4811.9298, 'N', 300.9105, 'W', 170635.0]
[4811.9291, 'N', 300.9102, 'W', 170636.0]
[4811.9285, 'N', 300.9097, 'W', 170637.0]
[4811.9282, 'N', 300.9091, 'W', 170638.0]
[4811.9283, 'N', 300.9083, 'W', 170639.0]
[4811.9319, 'N', 300.9119, 'W', 170654.0]
[4811.9332, 'N', 300.9131, 'W', 170738.0]
[4811.9329, 'N', 300.9122, 'W', 170739.0]
[4811.9323, 'N', 300.9118, 'W', 170740.0]
[4811.9316, 'N', 300.9114, 'W', 170741.0]
[4811.9311, 'N', 300.9105, 'W', 170742.0]
[4811.9308, 'N', 300.9094, 'W', 170743.0]
[4811.9308, 'N', 300.9081, 'W', 170744.0]
[4811.931, 'N', 300.9068, 'W', 170745.0]
[4811.9312, 'N', 300.9056, 'W', 170746.0]
[4811.9313, 'N', 300.9044, 'W', 170747.0]
[4811.9316, 'N', 300.9031, 'W', 170748.0]
[4811.9325, 'N', 300.8997, 'W', 170803.0]
[4811.9325, 'N', 300.8997, 'W', 170804.0]
[4811.9326, 'N', 300.8997, 'W', 170805.0]
[4811.9326, 'N', 300.8997, 'W', 170806.0]
[4811.9329, 'N', 300.8993, 'W', 170807.0]
[4811.9335, 'N', 300.8989, 'W', 170808.0]
[4811.9341, 'N', 300.8988, 'W', 170809.0]
[4811.9348, 'N', 300.8989, 'W', 170810.0]
[4811.9355, 'N', 300.899, 'W', 170811.0]
[4811.9361, 'N', 300.8993, 'W', 170812.0]
[4811.9189, 'N', 300.9222, 'W', 171040.0]
[4811.9194, 'N', 300.9215, 'W', 171041.0]
[4811.9199, 'N', 300.9207, 'W', 171042.0]
[4811.9204, 'N', 300.9198, 'W', 171043.0]
[4811.9208, 'N', 300.9188, 'W', 171044.0]
[4811.9212, 'N', 300.9177, 'W', 171045.0]
[4811.9215, 'N', 300.9166, 'W', 171046.0]
[4811.9218, 'N', 300.9156, 'W', 171047.0]
[4811.9221, 'N', 300.9145, 'W', 171048.0]
[4811.9224, 'N', 300.9134, 'W', 171049.0]
[4811.9227, 'N', 300.9123, 'W', 171050.0]
[4811.923, 'N', 300.9112, 'W', 171051.0]
[4811.9234, 'N', 300.9102, 'W', 171052.0]
[4811.9237, 'N', 300.9091, 'W', 171053.0]
[4811.9241, 'N', 300.9081, 'W', 171054.0]
[4811.9245, 'N', 300.9071, 'W', 171055.0]
[4811.9261, 'N', 300.9035, 'W', 171111.0]
[4811.9261, 'N', 300.9035, 'W', 171112.0]
[4811.9261, 'N', 300.9035, 'W', 171113.0]
[4811.9266, 'N', 300.9035, 'W', 171114.0]
[4811.9272, 'N', 300.904, 'W', 171115.0]
[4811.9277, 'N', 300.9048, 'W', 171116.0]
[4811.9279, 'N', 300.9057, 'W', 171117.0]
[4811.9281, 'N', 300.9067, 'W', 171118.0]
[4811.9282, 'N', 300.9078, 'W', 171119.0]
[4811.9282, 'N', 300.9088, 'W', 171120.0]
[4811.9283, 'N', 300.9099, 'W', 171121.0]
[4811.9282, 'N', 300.9109, 'W', 171122.0]
[4811.9282, 'N', 300.9119, 'W', 171123.0]
[4811.9281, 'N', 300.913, 'W', 171124.0]
[4811.928, 'N', 300.914, 'W', 171125.0]
[4811.9278, 'N', 300.9151, 'W', 171126.0]
[4811.9277, 'N', 300.916, 'W', 171127.0]
[4811.9275, 'N', 300.9167, 'W', 171128.0]
[4811.9274, 'N', 300.917, 'W', 171129.0]
[4811.9273, 'N', 300.9173, 'W', 171130.0]
[4811.9272, 'N', 300.9175, 'W', 171131.0]
[4811.9271, 'N', 300.9177, 'W', 171132.0]
[4811.9269, 'N', 300.9177, 'W', 171133.0]
[4811.9265, 'N', 300.9177, 'W', 171134.0]
[4811.9262, 'N', 300.9174, 'W', 171135.0]
[4811.9314, 'N', 300.9108, 'W', 171221.0]
[4811.9314, 'N', 300.9106, 'W', 171222.0]
[4811.9314, 'N', 300.9104, 'W', 171223.0]
[4811.9315, 'N', 300.91, 'W', 171224.0]
[4811.9317, 'N', 300.9092, 'W', 171225.0]
[4811.9317, 'N', 300.9084, 'W', 171226.0]
[4811.9316, 'N', 300.9076, 'W', 171227.0]
[4811.9313, 'N', 300.9067, 'W', 171228.0]
[4811.931, 'N', 300.906, 'W', 171229.0]
[4811.9307, 'N', 300.9052, 'W', 171230.0]
[4811.9305, 'N', 300.9044, 'W', 171231.0]
[4811.9303, 'N', 300.9036, 'W', 171232.0]
[4811.9301, 'N', 300.9028, 'W', 171233.0]
[4811.93, 'N', 300.902, 'W', 171234.0]
[4811.9299, 'N', 300.9013, 'W', 171235.0]
[4811.9298, 'N', 300.9005, 'W', 171236.0]
[4811.9303, 'N', 300.898, 'W', 171254.0]
[4811.9303, 'N', 300.8979, 'W', 171255.0]
[4811.9303, 'N', 300.8979, 'W', 171256.0]
[4811.9304, 'N', 300.8978, 'W', 171257.0]
[4811.9311, 'N', 300.8969, 'W', 171258.0]
[4811.9316, 'N', 300.8959, 'W', 171259.0]
[4811.932, 'N', 300.8949, 'W', 171300.0]
[4811.9323, 'N', 300.8938, 'W', 171301.0]
[4811.9327, 'N', 300.8926, 'W', 171302.0]
[4811.9331, 'N', 300.8915, 'W', 171303.0]
[4811.9335, 'N', 300.8903, 'W', 171304.0]
[4811.94, 'N', 300.8923, 'W', 171544.0]
[4811.94, 'N', 300.8923, 'W', 171545.0]
[4811.94, 'N', 300.8923, 'W', 171546.0]
[4811.9397, 'N', 300.8926, 'W', 171623.0]
[4811.9397, 'N', 300.8926, 'W', 171624.0]
[4811.9397, 'N', 300.8926, 'W', 171625.0]
[4811.9397, 'N', 300.8926, 'W', 171626.0]
[4811.9397, 'N', 300.8926, 'W', 171627.0]
[4811.9397, 'N', 300.8926, 'W', 171628.0]
[4811.9397, 'N', 300.8926, 'W', 171629.0]
[4811.9397, 'N', 300.8927, 'W', 171630.0]
[4811.9397, 'N', 300.8933, 'W', 171631.0]
[4811.9398, 'N', 300.8943, 'W', 171632.0]
[4811.94, 'N', 300.8954, 'W', 171633.0]
[4811.9401, 'N', 300.8966, 'W', 171634.0]
[4811.9403, 'N', 300.8977, 'W', 171635.0]
[4811.9405, 'N', 300.8988, 'W', 171636.0]
[4811.9408, 'N', 300.8999, 'W', 171637.0]
[4811.9412, 'N', 300.901, 'W', 171638.0]
[4811.9415, 'N', 300.902, 'W', 171639.0]
[4811.9418, 'N', 300.9031, 'W', 171640.0]
[4811.9421, 'N', 300.9041, 'W', 171641.0]
[4811.9425, 'N', 300.905, 'W', 171642.0]
[4811.9429, 'N', 300.9059, 'W', 171643.0]
[4811.9433, 'N', 300.9067, 'W', 171644.0]
[4811.9437, 'N', 300.9076, 'W', 171645.0]
[4811.9441, 'N', 300.9085, 'W', 171646.0]
[4811.9446, 'N', 300.9094, 'W', 171647.0]
[4811.9451, 'N', 300.9102, 'W', 171648.0]
[4811.9455, 'N', 300.9111, 'W', 171649.0]
[4811.946, 'N', 300.912, 'W', 171650.0]
[4811.9465, 'N', 300.9128, 'W', 171651.0]
[4811.947, 'N', 300.9136, 'W', 171652.0]
[4811.9475, 'N', 300.9145, 'W', 171653.0]
[4811.9481, 'N', 300.9154, 'W', 171654.0]
[4811.9486, 'N', 300.9162, 'W', 171655.0]
[4811.9492, 'N', 300.917, 'W', 171656.0]
[4811.9498, 'N', 300.9178, 'W', 171657.0]
