[4811.9478, 'N', 300.8878, 'W', 95019.0]
[4811.9478, 'N', 300.8878, 'W', 95020.0]
[4811.9478, 'N', 300.8878, 'W', 95021.0]
[4811.9477, 'N', 300.8879, 'W', 95022.0]
[4811.9479, 'N', 300.8889, 'W', 95023.0]
[4811.9482, 'N', 300.89, 'W', 95024.0]
[4811.9485, 'N', 300.8909, 'W', 95025.0]
[4811.949, 'N', 300.8916, 'W', 95026.0]
[4811.9495, 'N', 300.8922, 'W', 95027.0]
[4811.9501, 'N', 300.8927, 'W', 95028.0]
[4811.9507, 'N', 300.8932, 'W', 95029.0]
[4811.9514, 'N', 300.8937, 'W', 95030.0]
[4811.9521, 'N', 300.8942, 'W', 95031.0]
[4811.9528, 'N', 300.8946, 'W', 95032.0]
[4811.9535, 'N', 300.895, 'W', 95033.0]
[4811.9542, 'N', 300.8954, 'W', 95034.0]
[4811.9549, 'N', 300.8957, 'W', 95035.0]
[4811.9557, 'N', 300.8961, 'W', 95036.0]
[4811.9564, 'N', 300.8965, 'W', 95037.0]
[4811.9571, 'N', 300.8968, 'W', 95038.0]
[4811.9579, 'N', 300.8971, 'W', 95039.0]
[4811.9586, 'N', 300.8975, 'W', 95040.0]
[4811.9594, 'N', 300.8978, 'W', 95041.0]
[4811.9601, 'N', 300.8982, 'W', 95042.0]
[4811.9609, 'N', 300.8985, 'W', 95043.0]
[4811.9616, 'N', 300.8988, 'W', 95044.0]
[4811.9623, 'N', 300.8992, 'W', 95045.0]
[4811.9631, 'N', 300.8996, 'W', 95046.0]
[4811.9638, 'N', 300.8999, 'W', 95047.0]
[4811.9645, 'N', 300.9003, 'W', 95048.0]
[4811.9653, 'N', 300.9006, 'W', 95049.0]
[4811.9661, 'N', 300.901, 'W', 95050.0]
[4811.9668, 'N', 300.9013, 'W', 95051.0]
[4811.9676, 'N', 300.9017, 'W', 95052.0]
[4811.9683, 'N', 300.902, 'W', 95053.0]
[4811.9691, 'N', 300.9022, 'W', 95054.0]
[4811.9699, 'N', 300.9025, 'W', 95055.0]
[4811.9707, 'N', 300.9028, 'W', 95056.0]
[4811.9715, 'N', 300.903, 'W', 95057.0]
[4811.9723, 'N', 300.9033, 'W', 95058.0]
[4811.9731, 'N', 300.9035, 'W', 95059.0]
[4811.974, 'N', 300.9038, 'W', 95100.0]
[4811.9748, 'N', 300.904, 'W', 95101.0]
[4811.9757, 'N', 300.9042, 'W', 95102.0]
[4811.9765, 'N', 300.9044, 'W', 95103.0]
[4811.9773, 'N', 300.9045, 'W', 95104.0]
[4811.978, 'N', 300.9047, 'W', 95105.0]
[4811.9788, 'N', 300.9048, 'W', 95106.0]
[4811.9796, 'N', 300.905, 'W', 95107.0]
[4811.9804, 'N', 300.9052, 'W', 95108.0]
[4811.9812, 'N', 300.9054, 'W', 95109.0]
[4811.982, 'N', 300.9056, 'W', 95110.0]
[4811.9827, 'N', 300.9058, 'W', 95111.0]
[4811.9835, 'N', 300.906, 'W', 95112.0]
[4811.9843, 'N', 300.9061, 'W', 95113.0]
[4811.9851, 'N', 300.9062, 'W', 95114.0]
[4811.9859, 'N', 300.9063, 'W', 95115.0]
[4811.9867, 'N', 300.9065, 'W', 95116.0]
[4811.9875, 'N', 300.9066, 'W', 95117.0]
[4811.9883, 'N', 300.9068, 'W', 95118.0]
