[4811.9605, 'N', 300.8641, 'W', 160351.0]
[4811.96, 'N', 300.8651, 'W', 160352.0]
[4811.9597, 'N', 300.8664, 'W', 160353.0]
[4811.9599, 'N', 300.868, 'W', 160354.0]
[4811.9605, 'N', 300.8697, 'W', 160355.0]
[4811.9608, 'N', 300.8718, 'W', 160356.0]
[4811.9612, 'N', 300.8736, 'W', 160357.0]
[4811.9617, 'N', 300.8751, 'W', 160358.0]
[4811.9622, 'N', 300.8766, 'W', 160359.0]
[4811.9625, 'N', 300.8783, 'W', 160400.0]
[4811.9631, 'N', 300.8795, 'W', 160401.0]
[4811.9595, 'N', 300.8869, 'W', 160402.0]
[4811.9593, 'N', 300.8892, 'W', 160403.0]
[4811.9594, 'N', 300.8909, 'W', 160404.0]
[4811.9594, 'N', 300.8923, 'W', 160405.0]
[4811.9598, 'N', 300.8934, 'W', 160406.0]
[4811.9607, 'N', 300.8939, 'W', 160407.0]
[4811.9617, 'N', 300.8943, 'W', 160408.0]
[4811.9626, 'N', 300.8948, 'W', 160409.0]
[4811.9636, 'N', 300.8952, 'W', 160410.0]
[4811.9645, 'N', 300.8956, 'W', 160411.0]
[4811.9655, 'N', 300.8962, 'W', 160412.0]
[4811.9665, 'N', 300.8968, 'W', 160413.0]
[4811.9675, 'N', 300.8974, 'W', 160414.0]
[4811.9684, 'N', 300.8981, 'W', 160415.0]
[4811.9694, 'N', 300.8989, 'W', 160416.0]
[4811.9703, 'N', 300.8997, 'W', 160417.0]
[4811.9712, 'N', 300.9005, 'W', 160418.0]
[4811.9721, 'N', 300.9013, 'W', 160419.0]
[4811.9727, 'N', 300.9025, 'W', 160420.0]
[4811.9734, 'N', 300.9036, 'W', 160421.0]
[4811.9742, 'N', 300.9046, 'W', 160422.0]
[4811.975, 'N', 300.9056, 'W', 160423.0]
[4811.9757, 'N', 300.9068, 'W', 160424.0]
[4811.9764, 'N', 300.9079, 'W', 160425.0]
[4811.9772, 'N', 300.909, 'W', 160426.0]
[4811.9779, 'N', 300.9102, 'W', 160427.0]
[4811.9785, 'N', 300.9115, 'W', 160428.0]
[4811.9792, 'N', 300.9128, 'W', 160429.0]
[4811.9798, 'N', 300.9141, 'W', 160430.0]
[4811.9804, 'N', 300.9155, 'W', 160431.0]
[4811.981, 'N', 300.9169, 'W', 160432.0]
[4811.9815, 'N', 300.9183, 'W', 160433.0]
[4811.9818, 'N', 300.9198, 'W', 160434.0]
[4811.9823, 'N', 300.9214, 'W', 160435.0]
[4811.9826, 'N', 300.9229, 'W', 160436.0]
[4811.983, 'N', 300.9245, 'W', 160437.0]
[4811.9833, 'N', 300.9261, 'W', 160438.0]
[4811.9834, 'N', 300.9277, 'W', 160439.0]
[4811.9835, 'N', 300.9293, 'W', 160440.0]
[4811.9835, 'N', 300.9309, 'W', 160441.0]
[4811.9835, 'N', 300.9326, 'W', 160442.0]
[4811.9832, 'N', 300.9341, 'W', 160443.0]
[4811.9828, 'N', 300.9355, 'W', 160444.0]
[4811.9822, 'N', 300.9365, 'W', 160445.0]
[4811.9814, 'N', 300.937, 'W', 160446.0]
[4811.9805, 'N', 300.9369, 'W', 160447.0]
[4811.9798, 'N', 300.9361, 'W', 160448.0]
[4811.9793, 'N', 300.9347, 'W', 160449.0]
[4811.9791, 'N', 300.9331, 'W', 160450.0]
